Id,Age,Income,Emp_length,Amount,Rate,Status,Percent_income,Default,Cred_length,Home_MORTGAGE,Home_OTHER,Home_OWN,Home_RENT,Intent_DEBTCONSOLIDATION,Intent_EDUCATION,Intent_HOMEIMPROVEMENT,Intent_MEDICAL,Intent_PERSONAL,Intent_VENTURE
58,25,128000,9.0,30000,7.29,0,0.23,0,4,False,False,False,True,False,False,False,False,True,False
59,24,12000,2.0,1750,,0,0.15,1,3,False,False,True,False,False,False,False,False,False,True
60,21,131000,0.0,30000,5.99,0,0.23,0,4,False,False,False,True,False,False,False,False,False,True
61,22,275000,6.0,12000,11.58,0,0.04,0,2,False,False,True,False,False,False,False,False,False,True
62,26,263000,0.0,10000,,1,0.04,0,4,True,False,False,False,False,True,False,False,False,False
63,25,221850,9.0,25000,15.7,1,0.1,0,2,True,False,False,False,False,False,False,True,False,False
64,22,70000,6.0,29100,15.99,1,0.42,0,3,False,False,False,True,False,True,False,False,False,False
65,22,12000,7.0,1500,14.84,0,0.13,1,3,True,False,False,False,False,True,False,False,False,False
66,26,260000,10.0,28000,10.99,0,0.11,0,3,False,False,True,False,False,False,True,False,False,False
67,25,259000,9.0,20000,14.42,0,0.08,1,2,True,False,False,False,False,False,True,False,False,False
68,24,255000,9.0,9600,6.99,0,0.04,0,2,True,False,False,False,False,True,False,False,False,False
69,25,250000,2.0,25000,13.49,0,0.1,0,4,False,False,False,True,False,False,False,True,False,False
70,25,12000,0.0,3000,,1,0.25,0,3,False,False,True,False,False,False,False,True,False,False
71,22,56950,6.0,28000,,1,0.49,0,2,False,False,False,True,False,False,False,True,False,False
72,21,12000,6.0,3000,13.61,1,0.25,1,3,False,False,True,False,False,True,False,False,False,False
73,23,65000,2.0,28000,7.9,1,0.43,0,2,False,False,False,True,False,True,False,False,False,False
74,26,85000,2.0,28000,7.49,1,0.33,0,3,False,False,False,True,False,False,False,False,False,True
75,26,12000,2.0,6100,7.51,1,0.51,0,3,False,False,True,False,False,True,False,False,False,False
76,22,88000,6.0,28000,9.91,1,0.32,0,3,False,False,False,True,False,False,False,False,False,True
77,21,12000,0.0,4200,13.48,1,0.35,1,4,False,False,True,False,False,False,False,False,True,False
78,22,12000,6.0,4750,7.14,1,0.4,0,2,False,False,True,False,True,False,False,False,False,False
79,24,83004,0.0,28000,15.99,1,0.34,1,4,False,False,False,True,False,False,False,False,False,True
80,24,250000,2.0,18000,12.98,0,0.07,1,3,False,False,False,True,False,True,False,False,False,False
81,144,250000,4.0,4800,13.57,0,0.02,0,3,False,False,False,True,False,False,False,False,False,True
82,25,100000,5.0,28000,12.69,0,0.28,0,3,False,False,False,True,True,False,False,False,False,False
83,26,110000,10.0,28000,8.9,0,0.25,0,2,False,False,False,True,False,True,False,False,False,False
84,26,12000,0.0,2700,,1,0.23,0,4,False,False,True,False,True,False,False,False,False,False
85,22,108000,6.0,28000,,1,0.26,0,4,False,False,False,True,False,True,False,False,False,False
86,23,151200,7.0,28000,11.11,0,0.19,0,2,False,False,False,True,True,False,False,False,False,False
87,24,69000,2.0,27600,,1,0.4,0,2,False,False,False,True,False,False,True,False,False,False
88,21,12000,5.0,3250,15.68,1,0.27,1,3,True,False,False,False,True,False,False,False,False,False
89,22,70000,4.0,27500,13.06,1,0.39,1,3,False,False,False,True,False,True,False,False,False,False
90,22,240000,6.0,25000,,0,0.1,0,2,False,False,True,False,False,False,False,False,True,False
91,26,73200,5.0,27050,15.62,1,0.37,1,2,False,False,False,True,False,False,False,False,False,True
92,24,83000,5.0,27000,13.49,1,0.33,1,2,False,False,False,True,False,False,False,False,True,False
93,24,73399,0.0,27000,,1,0.37,0,3,False,False,False,True,False,False,False,False,False,True
94,23,62500,7.0,26000,11.71,1,0.42,0,2,False,False,False,True,False,False,False,True,False,False
95,23,120000,1.0,25600,12.69,0,0.21,0,3,False,False,False,True,False,True,False,False,False,False
96,24,12360,2.0,1600,13.57,0,0.13,0,3,False,False,True,False,False,False,False,True,False,False
97,22,60000,0.0,25475,10.99,1,0.42,0,3,False,False,False,True,False,False,False,False,False,True
98,25,234000,3.0,20000,14.27,0,0.09,1,4,True,False,False,False,False,False,False,True,False,False
99,24,234000,8.0,20000,8.88,0,0.09,0,4,False,False,True,False,False,False,True,False,False,False
100,26,234000,10.0,21600,12.18,0,0.09,0,3,True,False,False,False,False,False,True,False,False,False
101,25,221004,6.0,11900,14.42,1,0.05,1,3,True,False,False,False,True,False,False,False,False,False
102,26,232500,0.0,25000,14.17,0,0.11,1,2,True,False,False,False,False,False,False,True,False,False
103,25,230000,5.0,35000,13.99,0,0.15,0,4,True,False,False,False,False,False,False,True,False,False
104,23,83000,7.0,25300,10.99,1,0.3,0,3,False,False,False,True,False,True,False,False,False,False
105,22,12600,,2000,5.42,1,0.16,0,4,True,False,False,False,False,False,False,False,True,False
106,25,12600,3.0,1750,13.61,0,0.14,0,3,False,False,True,False,False,False,False,False,True,False
107,21,42500,3.0,25000,12.73,1,0.59,1,3,False,False,False,True,False,True,False,False,False,False
108,24,41000,2.0,25000,,1,0.61,0,3,False,False,False,True,False,False,True,False,False,False
109,25,12816,0.0,3000,12.87,1,0.23,1,4,False,False,True,False,True,False,False,False,False,False
110,24,12960,1.0,3650,9.91,1,0.28,0,3,True,False,False,False,False,False,True,False,False,False
111,26,226000,4.0,20000,11.49,0,0.09,0,4,True,False,False,False,False,False,True,False,False,False
112,25,225000,0.0,30000,19.91,0,0.13,1,2,True,False,False,False,False,False,True,False,False,False
113,26,213000,6.0,35000,10.65,1,0.16,0,2,True,False,False,False,False,True,False,False,False,False
114,24,225000,0.0,6000,,0,0.03,0,4,False,False,False,True,False,False,False,True,False,False
115,24,12960,0.0,4500,11.83,1,0.35,0,4,True,False,False,False,True,False,False,False,False,False
116,23,12996,0.0,2400,13.49,1,0.18,1,2,False,False,True,False,True,False,False,False,False,False
117,22,42000,6.0,25000,14.59,1,0.6,1,2,False,False,False,True,False,False,False,True,False,False
118,26,48000,2.0,25000,9.64,1,0.52,0,4,False,False,False,True,False,True,False,False,False,False
119,25,12996,1.0,3600,14.59,1,0.28,0,3,False,False,True,False,False,False,False,True,False,False
120,22,12996,1.0,4750,,1,0.37,0,3,False,False,True,False,False,True,False,False,False,False
121,25,42360,1.0,25000,16.35,1,0.59,1,3,False,False,False,True,False,True,False,False,False,False
122,21,49000,4.0,25000,10.99,1,0.51,0,2,False,False,False,True,False,True,False,False,False,False
123,25,225000,0.0,25000,18.67,0,0.11,0,2,True,False,False,False,False,False,False,False,False,True
124,26,225000,1.0,3000,9.32,0,0.01,0,4,False,False,False,True,False,True,False,False,False,False
125,23,225000,8.0,7500,8.63,0,0.03,0,2,False,False,False,True,True,False,False,False,False,False
126,26,225000,2.0,25000,10.08,0,0.11,0,2,True,False,False,False,False,False,False,False,False,True
127,22,49464,5.0,25000,11.83,1,0.51,0,3,False,False,False,True,False,False,False,False,True,False
128,23,50000,1.0,25000,7.9,1,0.5,0,3,False,False,False,True,True,False,False,False,False,False
129,25,50000,4.0,25000,5.99,1,0.5,0,2,False,False,False,True,False,False,True,False,False,False
130,24,44000,2.0,25000,15.33,1,0.57,0,2,False,False,False,True,True,False,False,False,False,False
131,23,50000,1.0,25000,11.83,1,0.5,0,4,False,False,False,True,False,False,False,False,False,True
132,22,50004,0.0,25000,10.36,1,0.5,0,2,False,False,False,True,False,False,False,False,False,True
133,22,50004,3.0,25000,12.23,1,0.5,0,3,False,False,False,True,False,False,False,False,False,True
134,22,52000,2.0,25000,11.11,1,0.48,0,4,False,False,False,True,False,True,False,False,False,False
135,23,13200,3.0,4950,7.9,1,0.38,0,4,False,False,True,False,True,False,False,False,False,False
136,24,220000,1.0,25000,11.58,0,0.11,0,2,True,False,False,False,False,True,False,False,False,False
137,23,216000,5.0,21000,8.9,0,0.1,0,3,True,False,False,False,True,False,False,False,False,False
138,25,216000,2.0,25000,16.07,0,0.12,0,3,True,False,False,False,False,True,False,False,False,False
139,26,216000,10.0,20000,14.22,0,0.09,1,2,True,False,False,False,False,True,False,False,False,False
140,23,215000,7.0,35000,14.79,0,0.16,1,3,True,False,False,False,False,False,False,True,False,False
141,26,215000,11.0,12000,7.88,0,0.06,0,2,True,False,False,False,False,True,False,False,False,False
142,23,52000,1.0,25000,13.22,1,0.48,0,2,False,False,False,True,False,False,False,False,True,False
143,26,46000,2.0,25000,11.86,1,0.54,0,4,False,False,False,True,True,False,False,False,False,False
144,22,53000,5.0,25000,13.43,1,0.47,1,4,False,False,False,True,False,True,False,False,False,False
145,26,47000,0.0,25000,15.28,1,0.53,1,2,False,False,False,True,False,False,True,False,False,False
146,23,47000,1.0,25000,17.93,1,0.53,0,2,False,False,False,True,False,False,False,False,False,True
147,23,13200,2.0,1400,9.25,0,0.11,0,4,True,False,False,False,False,True,False,False,False,False
148,21,13200,0.0,4500,12.98,1,0.34,0,4,False,False,True,False,False,False,False,False,False,True
149,22,210000,6.0,16000,10.62,0,0.08,0,4,True,False,False,False,False,False,False,False,False,True
150,26,210000,10.0,22000,11.83,0,0.1,0,4,False,False,True,False,False,False,False,False,True,False
151,26,48000,5.0,25000,18.43,1,0.52,0,2,False,False,False,True,False,False,False,False,False,True
152,22,54996,6.0,25000,,1,0.45,0,4,False,False,False,True,False,True,False,False,False,False
153,24,55000,4.0,25000,,1,0.45,1,4,False,False,False,True,False,False,True,False,False,False
154,23,55000,4.0,25000,11.36,1,0.45,0,3,False,False,False,True,False,True,False,False,False,False
155,23,55000,4.0,25000,15.65,1,0.45,1,3,False,False,False,True,False,True,False,False,False,False
156,24,55164,8.0,25000,13.22,1,0.45,1,4,False,False,False,True,False,False,False,False,True,False
157,26,56000,4.0,25000,12.87,1,0.45,0,2,False,False,False,True,True,False,False,False,False,False
158,24,203500,8.0,20000,13.04,0,0.1,0,3,False,False,True,False,False,False,False,True,False,False
159,23,190000,5.0,22000,17.58,1,0.12,1,3,True,False,False,False,False,True,False,False,False,False
160,23,13920,2.0,7750,17.04,1,0.56,0,4,False,False,True,False,False,False,False,False,True,False
161,24,60000,0.0,25000,10.99,1,0.42,0,3,False,False,False,True,False,False,False,False,True,False
162,24,60000,2.0,25000,11.11,1,0.42,0,3,False,False,False,True,False,False,False,False,True,False
163,26,54000,7.0,25000,14.83,1,0.46,1,2,False,False,False,True,True,False,False,False,False,False
164,23,14000,2.0,4000,,1,0.29,0,3,False,False,True,False,True,False,False,False,False,False
165,24,200000,8.0,12000,12.69,0,0.06,0,2,False,False,False,True,False,False,False,True,False,False
166,24,200000,8.0,12000,13.49,0,0.06,0,2,True,False,False,False,False,False,True,False,False,False
167,21,200000,5.0,16000,14.65,0,0.08,0,4,True,False,False,False,False,True,False,False,False,False
168,25,54000,3.0,25000,16.82,1,0.46,0,4,False,False,False,True,False,False,True,False,False,False
169,23,60000,3.0,25000,12.73,1,0.42,0,3,False,False,False,True,False,False,False,False,True,False
170,23,60000,7.0,25000,10.25,1,0.42,0,4,False,False,False,True,False,False,False,False,True,False
171,21,60000,6.0,25000,10.99,1,0.42,0,4,False,False,False,True,False,True,False,False,False,False
172,25,61959,9.0,25000,12.73,1,0.4,0,2,False,False,False,True,False,False,False,True,False,False
173,22,56400,2.0,25000,14.96,1,0.44,1,3,False,False,False,True,False,False,True,False,False,False
174,23,200000,7.0,28000,,0,0.14,0,2,True,False,False,False,False,True,False,False,False,False
175,21,200000,2.0,25000,13.99,0,0.13,0,2,True,False,False,False,True,False,False,False,False,False
176,24,200000,3.0,24000,7.49,0,0.12,0,4,True,False,False,False,False,False,False,False,False,True
177,26,200000,4.0,15000,14.79,0,0.07,0,3,True,False,False,False,False,True,False,False,False,False
178,25,200000,2.0,15500,11.99,0,0.08,0,2,True,False,False,False,True,False,False,False,False,False
179,24,200000,8.0,10000,8.49,0,0.05,0,4,False,False,False,True,False,True,False,False,False,False
180,24,66000,3.0,25000,9.91,1,0.38,0,2,False,False,False,True,False,True,False,False,False,False
181,22,66000,6.0,25000,13.06,1,0.38,1,3,False,False,False,True,False,True,False,False,False,False
182,22,200000,6.0,9000,6.17,0,0.04,0,4,True,False,False,False,True,False,False,False,False,False
183,144,200000,4.0,6000,11.86,0,0.03,0,2,True,False,False,False,False,True,False,False,False,False
184,25,200000,5.0,18000,16.32,0,0.09,0,3,False,False,False,True,False,True,False,False,False,False
185,25,200000,2.0,12000,10.38,0,0.06,0,2,True,False,False,False,False,False,False,False,False,True
186,25,200000,9.0,23050,14.35,0,0.12,0,3,True,False,False,False,False,False,False,False,True,False
187,24,200000,8.0,20000,,0,0.1,0,3,True,False,False,False,True,False,False,False,False,False
188,24,60000,2.0,25000,,1,0.42,1,2,False,False,False,True,True,False,False,False,False,False
189,21,14400,0.0,3000,,1,0.21,0,4,False,False,True,False,False,False,True,False,False,False
190,26,66996,10.0,25000,15.21,1,0.37,1,2,False,False,False,True,False,False,False,False,True,False
191,23,67000,3.0,25000,7.9,1,0.37,0,4,False,False,False,True,False,True,False,False,False,False
192,24,67000,2.0,25000,10.99,1,0.37,0,3,False,False,False,True,False,False,False,False,False,True
193,24,68000,5.0,25000,14.09,1,0.37,1,3,False,False,False,True,False,False,False,False,True,False
194,25,69000,9.0,25000,17.49,1,0.36,0,2,False,False,False,True,False,False,False,False,True,False
195,25,200000,0.0,12000,11.48,0,0.06,0,3,True,False,False,False,False,True,False,False,False,False
196,26,188000,10.0,20000,17.74,1,0.11,0,2,True,False,False,False,False,False,False,False,False,True
197,26,200000,4.0,3000,13.92,0,0.01,0,3,True,False,False,False,False,False,False,False,True,False
198,25,69996,9.0,25000,15.21,1,0.36,0,3,False,False,False,True,False,True,False,False,False,False
199,22,14400,2.0,4000,10.99,1,0.28,0,3,False,False,True,False,False,False,False,True,False,False
200,24,70000,3.0,25000,11.86,1,0.36,0,4,False,False,False,True,False,True,False,False,False,False
201,24,14400,5.0,6000,7.49,1,0.42,0,3,False,False,True,False,False,False,False,False,True,False
202,24,56100,7.0,25000,16.49,1,0.38,0,4,False,False,False,True,False,False,False,True,False,False
203,25,66000,9.0,25000,15.33,1,0.38,1,2,False,False,False,True,False,False,False,False,False,True
204,26,66000,3.0,25000,11.58,1,0.38,0,4,False,False,False,True,False,False,True,False,False,False
205,25,14400,7.0,5375,5.79,1,0.37,0,2,False,False,True,False,False,True,False,False,False,False
206,25,72612,9.0,25000,13.11,1,0.34,0,2,False,False,False,True,False,False,False,True,False,False
207,23,74000,3.0,25000,10.36,1,0.34,0,3,False,False,False,True,False,False,False,True,False,False
208,25,75000,9.0,25000,10.36,1,0.33,0,2,False,False,False,True,True,False,False,False,False,False
209,24,192000,0.0,22000,,0,0.11,1,2,False,False,False,True,False,False,False,True,False,False
210,21,192000,123.0,20000,6.54,0,0.1,0,4,True,False,False,False,False,False,False,False,False,True
211,25,191000,1.0,10000,12.53,0,0.05,0,4,True,False,False,False,False,False,False,True,False,False
212,26,190300,5.0,15000,,0,0.08,0,3,True,False,False,False,False,False,False,False,True,False
213,22,190000,3.0,10000,,0,0.05,0,3,True,False,False,False,False,False,False,False,False,True
214,24,75000,4.0,25000,10.25,1,0.33,0,4,False,False,False,True,False,True,False,False,False,False
215,22,71000,1.0,25000,15.95,1,0.35,1,4,False,False,False,True,False,True,False,False,False,False
216,26,190000,3.0,20000,12.18,0,0.11,0,4,True,False,False,False,False,False,False,False,False,True
217,23,189996,0.0,24000,11.83,0,0.13,0,3,False,False,True,False,False,False,False,False,True,False
218,23,78000,7.0,25000,,1,0.32,1,2,False,False,False,True,True,False,False,False,False,False
219,23,78000,1.0,25000,10.62,1,0.32,0,3,False,False,False,True,False,False,False,False,False,True
220,23,78504,7.0,25000,10.74,1,0.32,0,3,False,False,False,True,False,False,False,False,False,True
221,25,186000,9.0,10000,10.25,0,0.05,0,4,False,False,True,False,False,False,False,False,False,True
222,24,185000,,35000,12.42,0,0.19,0,2,True,False,False,False,False,True,False,False,False,False
223,25,185000,6.0,15000,15.27,0,0.08,0,2,False,False,False,True,False,False,False,False,False,True
224,24,62050,8.0,25000,15.33,1,0.34,1,2,False,False,False,True,False,False,False,True,False,False
225,23,79416,7.0,25000,15.21,1,0.31,1,2,False,False,False,True,False,False,False,False,False,True
226,21,14400,4.0,6250,14.72,1,0.43,0,2,False,False,True,False,False,False,False,False,False,True
227,24,79631,8.0,25000,15.7,1,0.31,1,2,False,False,False,True,False,False,False,False,True,False
228,24,79632,0.0,25000,13.35,1,0.31,0,4,False,False,False,True,False,True,False,False,False,False
229,21,14400,0.0,1500,,0,0.1,0,4,True,False,False,False,False,False,False,True,False,False
230,24,80000,6.0,25000,6.62,1,0.31,0,2,False,False,False,True,False,True,False,False,False,False
231,26,80000,5.0,25000,13.61,1,0.31,0,4,False,False,False,True,True,False,False,False,False,False
232,22,185000,4.0,25000,11.36,0,0.14,0,2,False,False,False,True,False,False,False,True,False,False
233,26,185000,10.0,5000,7.68,0,0.03,0,2,False,False,True,False,False,False,False,False,True,False
234,24,184992,7.0,22000,14.46,0,0.12,1,4,False,False,False,True,False,False,True,False,False,False
235,23,184000,5.0,2500,11.83,0,0.01,0,2,False,False,True,False,False,True,False,False,False,False
236,24,172000,6.0,20000,13.47,1,0.12,1,4,True,False,False,False,True,False,False,False,False,False
237,24,183000,2.0,20000,11.49,0,0.11,0,3,True,False,False,False,False,False,False,True,False,False
238,22,183000,3.0,1000,,0,0.01,0,2,True,False,False,False,False,True,False,False,False,False
239,25,182952,9.0,15000,6.03,0,0.08,0,3,True,False,False,False,False,False,False,False,True,False
240,23,74004,7.0,25000,16.35,1,0.34,0,4,False,False,False,True,True,False,False,False,False,False
241,26,74004,10.0,25000,,1,0.34,1,4,False,False,False,True,True,False,False,False,False,False
242,25,81000,5.0,25000,7.29,1,0.31,0,3,False,False,False,True,True,False,False,False,False,False
243,23,81600,1.0,25000,11.36,1,0.31,0,3,False,False,False,True,False,False,False,True,False,False
244,24,82000,8.0,25000,10.25,0,0.3,0,2,False,False,False,True,False,False,False,False,False,True
245,24,83000,5.0,25000,11.12,0,0.3,0,3,False,False,False,True,False,True,False,False,False,False
246,24,83000,5.0,25000,12.92,0,0.3,1,3,False,False,False,True,False,False,False,False,True,False
247,24,180000,8.0,18000,18.64,0,0.1,1,4,False,False,False,True,False,True,False,False,False,False
248,23,180000,8.0,28000,7.51,0,0.16,0,3,True,False,False,False,False,False,False,False,True,False
249,23,14400,2.0,4000,16.7,1,0.28,0,2,False,False,True,False,False,False,True,False,False,False
250,22,14400,0.0,2100,11.14,0,0.15,0,4,False,False,True,False,False,False,False,False,True,False
251,22,84500,6.0,25000,18.3,0,0.3,0,4,False,False,False,True,False,False,False,False,True,False
252,24,85000,5.0,25000,10.62,0,0.29,0,4,False,False,False,True,False,False,False,True,False,False
253,24,180000,7.0,14000,11.99,0,0.08,0,2,True,False,False,False,False,False,False,False,False,True
254,26,180000,2.0,12000,9.63,0,0.07,0,4,True,False,False,False,False,False,False,False,False,True
255,25,142800,9.0,10000,18.25,1,0.06,0,4,True,False,False,False,False,False,False,True,False,False
256,23,14664,0.0,6000,,1,0.41,0,4,True,False,False,False,True,False,False,False,False,False
257,24,87000,8.0,25000,14.84,0,0.29,0,3,False,False,False,True,False,False,True,False,False,False
258,24,75000,0.0,25000,14.7,1,0.33,1,3,False,False,False,True,False,False,False,False,False,True
259,23,76000,7.0,25000,16.02,1,0.33,0,4,False,False,False,True,True,False,False,False,False,False
260,23,66215,1.0,25000,15.37,1,0.32,1,2,False,False,False,True,False,False,False,True,False,False
261,25,90000,9.0,25000,10.99,0,0.28,0,4,False,False,False,True,False,False,False,True,False,False
262,21,15000,0.0,6200,7.9,1,0.41,0,2,False,False,True,False,False,False,True,False,False,False
263,26,180000,2.0,25000,10.99,0,0.14,0,4,False,False,True,False,False,False,False,False,True,False
264,24,180000,8.0,21000,11.48,0,0.12,0,3,False,False,True,False,False,True,False,False,False,False
265,25,180000,9.0,20000,14.26,0,0.11,1,4,False,False,True,False,False,False,False,True,False,False
266,26,180000,0.0,10000,8.0,0,0.06,0,4,False,False,True,False,False,False,True,False,False,False
267,25,180000,3.0,9950,11.26,0,0.06,0,2,True,False,False,False,False,False,False,False,False,True
268,23,15000,7.0,4475,,1,0.3,0,4,False,False,True,False,False,False,False,True,False,False
269,23,78000,2.0,25000,16.32,1,0.32,1,3,False,False,False,True,False,False,False,False,False,True
270,25,66300,3.0,25000,17.93,1,0.32,1,4,False,False,False,True,False,False,False,True,False,False
271,23,90000,0.0,25000,11.36,0,0.28,0,3,False,False,False,True,True,False,False,False,False,False
272,24,79000,9.0,25000,14.96,1,0.32,1,4,False,False,False,True,True,False,False,False,False,False
273,24,91800,4.0,25000,13.43,0,0.27,1,3,False,False,False,True,False,False,False,False,True,False
274,25,92000,6.0,25000,12.69,0,0.27,0,3,False,False,False,True,False,False,True,False,False,False
275,24,92000,1.0,25000,12.73,0,0.27,1,4,False,False,False,True,False,False,False,False,False,True
276,23,93600,3.0,25000,15.21,0,0.27,0,4,False,False,False,True,False,False,False,False,False,True
277,23,15000,1.0,1750,12.68,0,0.12,1,3,True,False,False,False,False,False,False,True,False,False
278,23,70550,3.0,25000,19.04,1,0.3,1,4,False,False,False,True,False,False,False,True,False,False
279,25,83800,2.0,25000,15.95,1,0.3,1,3,False,False,False,True,True,False,False,False,False,False
280,26,175000,3.0,2600,8.9,0,0.01,0,4,True,False,False,False,False,False,False,False,False,True
281,25,175000,10.0,8000,7.9,0,0.05,0,2,True,False,False,False,False,False,True,False,False,False
282,22,175000,6.0,18000,,0,0.1,0,2,True,False,False,False,False,True,False,False,False,False
283,23,175000,8.0,21000,11.99,0,0.12,0,3,True,False,False,False,False,False,False,False,True,False
284,23,15000,4.0,4000,13.98,1,0.27,0,4,False,False,True,False,True,False,False,False,False,False
285,23,15000,4.0,4600,10.99,1,0.31,0,2,False,False,True,False,False,False,False,False,False,True
286,22,88000,6.0,25000,15.58,1,0.28,1,2,False,False,False,True,True,False,False,False,False,False
